,Range (1 to 5),Range (1 to 5),Range (1 to 5),Range (1 to 5)
"**Write about how nothing has ever really been difficult for your main character. They’ve been able to coast through life, get a good job, make good friends, and are happy. Then a social worker shows up at their door with a six-year-old child – the same child that was adopted six years prior. Turns out, raising a six-year-old is very, very difficult. Word Count: 1200-1500 words. Special Words: ""coast through life,"" ""good job,"" ""raising,"" ""difficult,"" ""social worker,"" ""adoption,"" ""challenges."" Frequency Constraint: Every other paragraph must contain a word related to struggle or difficulty. Ending Constraint: Each paragraph must end with a word related to realization or adaptation. Theme: Parenthood, challenges, personal growth.",5,4,4,3
"**Your main character has worked their entire life to make their dreams of curing cancer a reality. But when it seems like a cure is within reach, a suspicious fire burns all of their research…or so it seemed. Word Count: 1000-1200 words. Special Words: ""curing cancer,"" ""suspicious fire,"" ""research,"" ""realization,"" ""obstacle,"" ""discovery,"" ""hope."" Frequency Constraint: At least one sentence per paragraph must evoke a sense of determination or setback. Ending Constraint: Each paragraph must end with a word related to hope or uncertainty. Theme: Scientific pursuit, setback, resilience.",5,4,4,3
"**Write about a character who survived an accident that killed one of their siblings. When they thought life couldn’t get any harder, a scary diagnosis rocks their already unstable boat. Dealing with grief, your family blaming you for a sibling’s death, and a debilitating disease isn’t easy. Thank goodness they make a new friend. Word Count: 1100-1300 words. Special Words: ""survived accident,"" ""scary diagnosis,"" ""grief,"" ""blaming,"" ""debilitating disease,"" ""friendship,"" ""thank goodness."" Frequency Constraint: At least two sentences per paragraph must convey a sense of grief or resilience. Ending Constraint: Each paragraph must end with a word related to healing or support. Theme: Trauma, resilience, friendship.",5,4,4,4
"**Write about purple glasses. Black hair. Polka dot shoes. Your main character has seen this person on the subway every day for two years. When they notice their absence for a week straight, they decide to find out who they are. Turns out, your character shouldn’t have gone snooping. Word Count: 1000-1200 words. Special Words: ""purple glasses,"" ""polka dot shoes,"" ""subway,"" ""absence,"" ""snooping,"" ""discovery,"" ""consequences."" Frequency Constraint: Every other paragraph must contain a word related to curiosity or suspicion. Ending Constraint: Each paragraph must end with a word related to revelation or consequence. Theme: Mystery, curiosity, consequences.",5,4,4,4
"**Your character lines up at the bank very early in the morning, dreading another day of mind-numbing work ahead at their corporate job. A gentleman in a grey suit with white hair greets them and engages in some small talk. Then, out of nowhere, he hands your character a gun, takes a few steps back, and fires a couple of rounds into the ceiling. Word Count: 900-1100 words. Special Words: ""bank,"" ""corporate job,"" ""gentleman,"" ""gun,"" ""small talk,"" ""white hair,"" ""rounds."" Frequency Constraint: At least one sentence per paragraph must evoke a sense of tension or shock. Ending Constraint: Each paragraph must end with a word related to surprise or chaos. Theme: Unexpected events, tension, chaos.",5,4,4,3
"It’s been two years since your character has actually had a steady job. After growing increasingly desperate, they answer an ad for a personal assistant position. They just didn’t expect it to be for a major drug cartel leader.",1,1,3,2
Hospitals have never been your character’s favorite. They think they smell…weird. Unnatural. But they work there now and will have to get used to it. They throw on their white coat and enter the building. Ugh. The psychiatric ward always smells the worst; like wet stone and rotting wood mixed with subpar antiseptics.,1,1,4,3
"Your main character starts to hear voices shortly after experiencing a trauma. Now they’re in therapy, fighting with their own mind in order to sort out what really happened that day and why they can’t stop hearing another voice.",1,1,4,3
Write about how children are the future. They have the power to right our wrongs and start anew. Your main character befriends an orphaned child and learns more from them than they realized was possible.,1,1,4,2
A lost key unlocks more than just a door.,1,1,5,2
"In a town where everyone wears masks, one person decides to reveal their true face.",1,1,5,2
"A mysterious figure appears at the edge of the forest, beckoning you to follow.",1,1,5,3
A single rose grows in the middle of a barren desert.,1,1,5,4
Two strangers find themselves inexplicably connected by a shared dream.,1,1,5,4
A forgotten diary reveals a family secret buried for generations.,1,1,5,2
"In a world where time flows backwards, a person discovers a way to move forward.",1,1,5,4
"The stars begin disappearing from the night sky, one by one.",1,1,5,3
A painting in an abandoned mansion seems to change each time it's viewed.,1,1,5,4
A child discovers a hidden doorway in their closet leading to another realm.,1,1,5,4
"A message in a bottle washes ashore, written in a language nobody can decipher.",1,1,5,4
An old photograph found in an attic holds the key to a long-forgotten love story.,1,1,5,2
"A peculiar shop appears overnight in the middle of the city, selling items from other worlds.",1,1,5,5
A mirror reflects a different reality than the one you know.,1,1,5,5
A song heard only in dreams starts to play on every radio station simultaneously.,1,1,5,2
"A peculiar fog descends upon a small town, bringing with it strange occurrences.",1,1,5,2
A map leads to a treasure buried deep within a labyrinthine cave system.,1,1,5,3
A clocktower in a sleepy village begins ticking backwards.,1,1,5,3
A whisper in the wind leads you to a hidden waterfall with mystical properties.,1,1,5,2
A peculiar plant discovered in the depths of the rainforest holds the cure to a deadly disease.,1,1,5,2
A riddle carved into an ancient statue holds the key to unlocking a hidden chamber.,1,1,5,2
"A ghost ship appears on the horizon, crewed by souls lost at sea.",1,1,5,2
A pocket watch found at a flea market possesses the power to stop time.,1,1,5,2
A constellation in the night sky forms a pattern never seen before.,1,1,5,2
A library contains books that write themselves as you read them.,1,1,5,2
Turn one of your grandparent's old stories into fiction.,1,1,5,1
A romance told through a series of texts.,1,1,5,1
"Two people are playing chess. One person can read minds, the other person can see the future.",1,1,5,4
"Write a story that draws from a moment in your life where you wish you'd made a different choice. Have your protagonist make that choice, and then see what happens.",1,1,5,2
"Amazon has invented time travel and introduced pre-emptive shipping. Today, you receive something completely unexpected from your future self.",2,1,5,4
"Write about the way the sunset looks from the perspective of two characters. One is sad, the other is happy.",2,1,5,3
"A wand-maker goes to the forest ready to work, only to find a group of environmentalists camped out in front of their favorite hemlock tree.",,,,
Pick a genre and then write about a long walk home after school.,1,1,5,2
The last person on earth celebrates their own birthday.,1,1,5,3
A team of scientists have successfully teleported an apple. It reappears with a bite taken out of it.,1,1,5,4
"Write a story in exactly 150 words about a character waking up in a space pod alone, realizing they're on a cosmic mission to save humanity from an imminent threat. Must include the words: ""cosmic,"" ""mission,"" and ""imminent.""",2,2,5,4
"Describe, in precisely 200 words, the protagonist exploring the ship's interior carrying a planet, uncovering secrets that challenge their understanding of the universe. Must include the words: ""interior,"" ""secrets,"" and ""challenge.""",2,3,5,4
"Describe, in precisely 200 words, the protagonist exploring the ship's interior carrying a planet, uncovering secrets that challenge their understanding of the universe. Must include the words: ""interior,"" ""secrets,"" and ""challenge."" Incorporate a metaphor comparing the ship to a living organism.",3,3,5,4
"Invent a subplot within 200 words involving rogue space pirates attempting to hijack the ship, leading to a thrilling space battle for the protagonist. Must include the words: ""subplot,"" ""rogue,"" and ""nefarious."" Incorporate a countdown to heighten tension.",3,3,5,4
"Craft a 250-word dialogue between the protagonist and an AI companion aboard the ship, unraveling the mystery of the protagonist's forgotten memories. Must include the words: ""dialogue,"" ""unravel,"" and ""mystery."" Each character's dialogue must reflect a distinct personality trait.",3,3,5,3
"Write a story in exactly 150 words about a character waking up in a space pod alone, realizing they're on a cosmic mission to save humanity from an imminent threat. Must include the words: ""cosmic,"" ""mission,"" and ""imminent."" Additionally, ensure that the story follows a non-linear narrative structure.",3,4,5,3
"Describe, in precisely 200 words, the protagonist exploring the ship's interior carrying a planet, uncovering secrets that challenge their understanding of the universe. Must include the words: ""interior,"" ""secrets,"" and ""challenge."" Write the description entirely in the passive voice.",3,4,5,3
"Explore, in exactly 250 words, the psychological toll of amnesia on the protagonist as they piece together their past while grappling with their current predicament aboard the massive ship. Must include the words: ""psychological,"" ""amnesia,"" and ""predicament."" Utilize a stream-of-consciousness narrative style for this exploration",3,4,5,3
"Write a story in exactly 300 words about a character stranded on a deserted island, where the word ""hope"" must be repeated at least 5 times throughout the narrative.",2,2,5,2
"Describe, in precisely 350 words, a character's transformation into a werewolf under the full moon, with the word ""moon"" appearing at least 10 times.",2,4,5,4
"Craft a 400-word dialogue between two characters discussing their deepest fears, with the word ""fear"" appearing exactly 8 times in total, evenly distributed between both characters.",3,4,5,2
"Invent a subplot within 450 words involving a character discovering an ancient prophecy, with the key phrase ""prophecy foretold"" used at least 3 times but not consecutively.",3,3,3,3
"Explore, in exactly 500 words, the emotional journey of a character overcoming grief, where the word ""grief"" must appear exactly 7 times, reflecting different stages of mourning.",3,3,5,2
"Write a story about a character who discovers a magical book that grants wishes, but each wish comes with a consequence. Ensure that the phrase ""be careful what you wish for"" is used exactly twice, once in the middle paragraph and once in the closing paragraph.",4,3,5,3
"Describe a character's journey through a haunted mansion, where the word ""haunt"" must be used at least five times, each time in a different context (e.g., as a verb, noun, adjective, etc.).",2,4,5,2
"Craft a dialogue between two characters negotiating a deal, where the phrase ""cut a deal"" must be used at the beginning of the third paragraph, signifying the turning point in their negotiation.",2,4,5,2
"Invent a subplot where a character uncovers a hidden treasure, but the phrase ""X marks the spot"" is only revealed in the second-to-last paragraph, leading to the final discovery.",2,4,5,2
"Explore a character's quest for redemption, ensuring that the word ""redeem"" is used at least four times, with each usage representing a different aspect of the character's journey toward forgiveness.",2,3,5,2
"Write a story where the protagonist embarks on a quest to find a lost artifact, incorporating the phrase ""lost and found"" as a recurring motif, with each usage adding depth to the character's search.",2,3,5,2
"Describe a character's encounter with a mythical creature, where the phrase ""once in a blue moon"" is used at the beginning of the second paragraph, setting the tone for the rare and magical encounter.",2,3,5,3
"Craft a monologue where the character reflects on their past mistakes, ensuring that the phrase ""history repeats itself"" is used at the end of the first paragraph, highlighting the cyclical nature of their regrets.",2,3,5,3
"Title: ""Midnight Whispers""								
Paragraphs: 3 Word Count: 50 words per paragraphTheme:Introduction to protagonist and setting.								
Introduction of the conflict involving a lost locket.								
Resolution where the protagonist finds the locket.								
Words to incorporate: midnight, whisper, secret, lost, moon, wanderer, mystical, portal, forgotten, magic								
Ending Statements: ""As the moonlight revealed its secrets, the lost locket whispered its tale, guiding the wanderer to a mystical portal of forgotten magic.""								",5,5,5,2
"Title: ""Enchanted Grove""
Paragraphs: 4
Word Count: 75 words per paragraph
Theme:
Introduction to protagonist discovering an enchanted grove.
Encounter with guardians protecting the grove.
Discovery of a hidden artifact within the grove.
Conclusion with the protagonist's transformation or enlightenment.
Words to incorporate: enchanted, grove, guardian, artifact, discovery, hidden, transformation, enlightenment, protect, ancient
Ending Statements: ""As the guardians watched, the protagonist unearthed the ancient artifact hidden within the enchanted grove, igniting a transformation that brought enlightenment and understanding.""",5,5,5,2
"Title: ""Echoes of the Abyss""
Paragraphs: 5
Word Count: 100 words per paragraph
Theme:
Introduction to protagonist exploring a sunken city.
Discovery of a mysterious artifact.
Unraveling the artifact's secrets.
Encounter with guardians of the city's secrets.
Resolution where protagonist restores balance.
Words to incorporate: abyss, sunken, artifact, mysterious, unravel, secrets, guardian, balance, explore, forgotten
Ending Statements: ""As the protagonist faced the guardians, the abyss whispered its secrets, guiding the unraveling of mysteries and restoring balance to the forgotten city.""",5,5,2,4
"Title: ""Whispers of the Eclipse""
Paragraphs: 6
Word Count: 125 words per paragraph
Theme:
Introduction to a world on the brink of celestial convergence.
Discovery of an ancient prophecy foretelling the eclipse's significance.
Journey through mystical realms affected by the eclipse's influence.
Confrontation with celestial beings manipulating fate.
Sacrifice to restore balance between light and darkness.
Redemption through the fulfillment of the prophecy.
Words to incorporate: whispers, eclipse, celestial, prophecy, mystical, realms, influence, confrontation, sacrifice, redemption
Ending Statements: ""As the celestial beings watched, the protagonist's sacrifice fulfilled the prophecy, ending the whispers of the eclipse and bringing redemption to the world.""",5,5,5,3
"Title: ""The Forgotten Symphony""
Paragraphs: 7
Word Count: 150 words per paragraph
Theme:
Introduction to a prodigious composer plagued by amnesia.
Discovery of fragments of a forgotten symphony.
Journey through memories intertwined with music.
Confrontation with forces that erased the symphony.
Performance of the symphony to transcend time and space.
Redemption through the power of creation.
Reflection on the enduring power of art.
Words to incorporate: forgotten, symphony, composer, amnesia, fragments, memories, confrontation, performance, transcend, redemption
Ending Statements: ""As the final notes echoed, the protagonist found redemption in the enduring power of art, reflecting on the symphony's journey from forgotten fragments to timeless masterpiece.""",5,5,5,3
"Title: ""Whispers of the Eclipse""                                                                                        
Paragraphs: 6                                                                                        
Word Count: 125 words per paragraph                                                                                        
Theme:                                                                                        
Introduction to a world on the brink of celestial convergence.                                                                                        
Discovery of an ancient prophecy foretelling the eclipse's significance.                                                                                        
Journey through mystical realms affected by the eclipse's influence.                                                                                        
Confrontation with celestial beings manipulating fate.                                                                                        
Sacrifice to restore balance between light and darkness.                                                                                        
Redemption through the fulfillment of the prophecy.                                                                                        
Words to incorporate: whispers, eclipse, celestial, prophecy, mystical, realms, influence, confrontation, sacrifice, redemption                                                                                        
Ending Statements: ""As the celestial beings watched, the protagonist's sacrifice fulfilled the prophecy, ending the whispers of the eclipse and bringing redemption to the world.""                                                                                        ",5,5,5,3
